round,accuracy,precision,recall,f1_score
1,0.1362999975681305,0.1481803458995541,0.1363,0.05850688374317681
2,0.25,0.30672996331446456,0.25,0.2182967009097832
3,0.2759000062942505,0.38971131943266213,0.2759,0.22351649651567965
4,0.3353999853134155,0.44913508272255814,0.3354000000000001,0.2692586769084947
5,0.2937000095844269,0.44110811913046744,0.2937,0.23927354895596833
6,0.3248000144958496,0.3093695361182792,0.32480000000000003,0.2406705902397787
7,0.18400000035762787,0.4422320273288188,0.184,0.10065698838408337
8,0.3181000053882599,0.29775277413854834,0.3181,0.23504181324602025
9,0.2053000032901764,0.5487424560779084,0.2053,0.12169050908531372
10,0.34709998965263367,0.29574266790816994,0.3470999999999999,0.26367797647120056
