round,loss,accuracy,precision,recall,f1_score
1,2.835144567489624,0.12603999972343444,0.031461384483964926,0.12604,0.0419086285063389
2,5.426925849914551,0.15342000275850295,0.03532942737386269,0.15342,0.05392329257274795
3,7.847800540924072,0.16900000274181365,0.03533941847272896,0.169,0.057645229807920556
4,10.44541530609131,0.17159999907016754,0.03569350563926127,0.1716,0.05846540028946972
5,14.585083770751954,0.17314000129699708,0.03611627651664392,0.17314,0.05918934246660843
6,17.592005729675293,0.17298000156879426,0.03613253309158126,0.17298,0.05916751585914526
7,19.351162910461426,0.17538000047206878,0.035846108444190464,0.17538,0.059236055414821076
8,21.794974517822265,0.1756399989128113,0.03624284264755469,0.17564,0.05971192159527518
9,22.52132453918457,0.17594000101089477,0.03615823452363094,0.17594,0.05968182861309102
10,23.95255012512207,0.17541999816894532,0.03657572465395605,0.17542,0.060038773080217725
