round,loss,accuracy,precision,recall,f1_score
1,2.468465805053711,0.10610000044107437,0.034337939186611204,0.1061,0.029248775820128657
2,3.017876148223877,0.14499999582767487,0.02917997766369559,0.14500000000000002,0.048486203561552185
3,3.3779497146606445,0.14550000429153442,0.02942090790427107,0.14550000000000002,0.048757817851666725
4,3.3181114196777344,0.14820000529289246,0.02988507501634815,0.1482,0.049637013844898485
5,3.236724853515625,0.14749999344348907,0.13075307722596627,0.1475,0.050691232480377386
6,3.1924221515655518,0.1526000052690506,0.09713233768969173,0.1526,0.051169292330708105
7,3.221040725708008,0.15139999985694885,0.13029440448213475,0.1514,0.050867194724381296
8,3.303023338317871,0.15230000019073486,0.09347868595687736,0.1523,0.05222428824367489
9,3.163268566131592,0.15330000221729279,0.16812325788289104,0.1533,0.053141304521404885
10,3.3405871391296387,0.15520000457763672,0.16145360597394243,0.15519999999999998,0.05365511562832654
